"Alfred William Hughes",,,,
"Anwen Barry",,,,
"Arthur E. Hughes",,,,
"Calum Davies",,,,
"Elwyn Williams",,,,
"Gary Gribben","Q76509605","2019 United Kingdom general election","Arfon","Brexit Party"
"Gonul Daniels","Q76364171","2019 United Kingdom general election","Arfon","Conservative Party"
"Henry Platt",,,,
"Kathrine Jones",,,,
"Mary Clarke",,,,
"Mohammed Shultan",,,,
"Philippa Parry",,,,
"Sarah Green","Q75975229","2019 United Kingdom general election","Ruislip, Northwood and Pinner","Green Party of England and Wales"
"Simon Wall","Q76509739","2019 United Kingdom general election","Alyn and Deeside","Brexit Party"
"Steffie Williams Roberts",Q76364108,,,
